Zona,Provincia/Pais,Localidad,Lectura_15_04_25_al_28_04_25,Lectura_29_04_25_al_16_05_25,Lectura_17_05_25_al_02_06_25
Centro Norte,Córdoba,Río Ceballos,10,16,220
Centro Norte,Córdoba,Villa María,0,0,26
Centro Norte,Córdoba,Cañada de Luque,29,98,427
Centro Norte,Córdoba,Capilla de Sitón,72,90,369
Centro Norte,Córdoba,Carrilobo,Sin datos,Sin datos,80
Centro Norte,Córdoba,Devoto,29,0,46
Centro Norte,Córdoba,Eufrasio Loza,Sin datos,13,772
Centro Norte,Córdoba,Laguna Larga,1,26,35
Centro Norte,Córdoba,Las Bajadas,10,8,49
Centro Norte,Córdoba,Monte del Rosario,401,634,1196
Centro Norte,Córdoba,Montecristo,258,591,312
Centro Norte,Córdoba,Obispo trejo,0,Sin datos,5
Centro Norte,Córdoba,Río Segundo-T1,18,202,171
Centro Norte,Córdoba,San Francisco,2,1,0
Centro Norte,Córdoba,Santa Catalina,58,184,632
Centro Norte,Córdoba,Tancacha,Sin datos,4,35
Centro Norte,Córdoba,Villa de Maria,Sin datos,148,137
Centro Norte,Córdoba,Arroyito,169,162,107
Centro Norte,Córdoba,Villa Sta. Rosa,391,422,284
Centro Norte,Córdoba,Hernando,0,0,0
Centro Norte,Córdoba,Piquillín,1,51,313
