Zona,Provincia,Localidad,Latitud,Longitud,Cant_07_12_24_al_21_12_24,Cant_22_12_24_al_07_01_25,Cant_08_01_25_al_24_01_25
Centro Sur,Buenos Aires,San Andrés de Giles,,,0,0,0
Centro Sur,Buenos Aires,San Pedro,,,0,0,0
Centro Sur,Buenos Aires,Alberdi,,,0,0,0
Centro Sur,Buenos Aires,Junín,,,0,0,0
Centro Sur,Buenos Aires,Necochea,,,0,0,0
Centro Sur,Buenos Aires,Pergamino,,,0,1,0
Centro Sur,Buenos Aires,Tandil,,,0,0,Sin datos
Centro Sur,Buenos Aires,Las Armas,,,0,0,0
Centro Sur,Buenos Aires,Catriló,,,0,0,0
Centro Sur,Buenos Aires,Chivilcoy,,,Trampa perdida,0,3
Centro Sur,Buenos Aires,Pergamino,,,0,0,0
Centro Sur,Buenos Aires,Conesa,,,0,0,0
Centro Sur,Buenos Aires,San antonio de Areco,,,0,0,2
Centro Sur,Buenos Aires,Bordenave,,,0,0,0
Centro Sur,Buenos Aires,Gral. Villegas,,,0,0,0
Centro Sur,Buenos Aires,Ascasubi,,,0,0,0
Centro Sur,Buenos Aires,Bolivar,,,0,0,0
Centro Sur,Buenos Aires,Pehuajó,,,0,0,0
Centro Sur,Buenos Aires,Balcarce,,,0,Trampa perdida,0
Centro Sur,La Pampa,Macachín,,,0,0,0
Centro Sur,La Pampa,Quemu Quemu,,,0,Trampa perdida,Sin datos
Centro Sur,La Pampa,General Pico,,,0,0,0
Centro Sur,La Pampa,Quemú Quemú,,,0,0,0
Centro Sur,La Pampa,Santa Rosa,,,0,0,0
Centro Sur,La Pampa,Anguil 1,,,0,0,0
Centro Sur,Santa Fe,Pujato,,,0,0,0
