Región,Provincia,Localidad,Lectura_08_02_25_al_23_02_25,Lectura_24_02_25_al_13_03_25,Lectura_14_03_25_al_28_03_25
Centro Sur,Córdoba,Guatimozin,0,0,0
Centro Sur,Córdoba,Idiazabal,1,1,1
Centro Sur,Córdoba,Lecueder,0,0,Sin datos
Centro Sur,Córdoba,Villa Valeria,0,0,0
Centro Sur,Córdoba,Jovita,0,0,0
Centro Sur,Córdoba,Adelia María,0,0,5
Centro Sur,Córdoba,Chilibroste,Sin datos,Sin datos,0
Centro Sur,Córdoba,Justiniano Posse,Sin datos,Sin datos,Sin datos
Centro Sur,Córdoba,Huinca Renanco,0,0,0
Centro Sur,Córdoba,Arias,Sin datos,Sin datos,0
Centro Sur,Córdoba,Cañada Seca,0,Sin datos,2
Centro Sur,Córdoba,Cuatro Vientos,0,1,3
Centro Sur,Córdoba,General Levalle,0,0,Sin datos
Centro Sur,Córdoba,La Carlota,0,1,1
Centro Sur,Córdoba,Melo,0,0,0
Centro Sur,Córdoba,Monte de los Gauchos,5,8,17
Centro Sur,Córdoba,Punta del Agua,0,0,Sin datos
Centro Sur,Córdoba,Reduccion,1,1,2
Centro Sur,Córdoba,Rio Seco,1,0,0
Centro Sur,Córdoba,Vicuña Mackenna,0,0,0
Centro Sur,Córdoba,Villa valeria,0,0,0
Centro Sur,Córdoba,Ballesteros,0,0,0
Centro Sur,Córdoba,Monte Buey,0,0,Sin datos
Centro Sur,Córdoba,Marcos Juarez 2,0,3,11
Centro Sur,Santa Fe,Álvarez,0,12,11
Centro Sur,Santa Fe,Bustinza,0,0,Trampa perdida
Centro Sur,Santa Fe,Godoy,0,4,0
Centro Sur,Santa Fe,Hughes,0,0,0
Centro Sur,Santa Fe,Iriarte,0,0,0
Centro Sur,Santa Fe,Máximo Paz,0,0,Trampa perdida
Centro Sur,Santa Fe,San Jerónimo Sur,0,0,1
Centro Sur,Santa Fe,Teodelina,0,0,0
Centro Sur,Santa Fe,Timbúes,7,10,8
Centro Sur,Santa Fe,Venado tuerto,0,0,0
Centro Sur,Santa Fe,Villa Mugueta,0,0,0
Centro Sur,Santa Fe,Villada,0,0,0
Centro Sur,Santa Fe,Wheelright,0,0,0
Centro Sur,Santa Fe,J. B. Molina,0,16,9
Centro Sur,Santa Fe,Armstrong,Trampa perdida,0,Sin datos
Centro Sur,Santa Fe,Christophersen,Sin datos,Sin datos,0
Centro Sur,Santa Fe,Chañar Ladeado,0,0,0
Centro Sur,Santa Fe,Monte de Oca,0,0,0
Centro Sur,Santa Fe,Zavalla,0,26,32
Centro Sur,Santa Fe,Villa Cañas,0,0,Sin datos
Centro Sur,Santa Fe,Pueblo Uranga,0,0,8
Centro Sur,Santa Fe,Clucellas,0,0,0
Centro Sur,Santa Fe,Maria teresa,0,Sin datos,0
Centro Sur,Santa Fe,Bombal,Sin datos,0,Sin datos
Centro Sur,Santa Fe,Las Rosas,0,0,0
Centro Sur,Santa Fe,Teodelina,Sin datos,0,0
Centro Sur,Santa Fe,Pujato,Sin datos,0,3
Centro Sur,Santa Fe,Cañada de Gómez,0,6,8
Centro Sur,Buenos Aires,Arrecifes,0,0,3
