localidad,provincia,region,temporada,max_capturas,mean_capturas,n_lecturas,n_detecciones,target
buchardo,Córdoba,CENTRO SUR,2024-2025,0.0,0.0,57,0,0
buchardo,Córdoba,CENTRO SUR,2025-2026,0.0,0.0,46,0,0
buena esperanza,San Luis,CENTRO SUR,2024-2025,0.0,0.0,1,0,0
buena esperanza,San Luís,CENTRO SUR,2024-2025,20.0,2.1964285714285716,56,12,1
buena esperanza,San Luís,CENTRO SUR,2025-2026,20.0,1.3404255319148937,47,6,1
burruyacu,Tucumán,NOA,2024-2025,630.0,85.26666666666667,60,43,1
burruyacu,Tucumán,NOA,2025-2026,630.0,70.9090909090909,44,24,1
bustinza,Santa Fe,CENTRO SUR,2024-2025,184.0,12.56,50,6,1
bustinza,Santa Fe,CENTRO SUR,2025-2026,184.0,10.583333333333334,24,9,1
calamuchita,Córdoba,CENTRO NORTE,2024-2025,12.0,12.0,1,1,1
calchaquí,Santa Fe,NEA,2024-2025,24.0,6.461538461538462,52,24,1
calchaquí,Santa Fe,NEA,2025-2026,318.0,53.16,50,32,1
campana,,URUGUAY,2024-2025,0.0,0.0,1,0,0
campana,Uruguay,URUGUAY,2024-2025,1.0,0.16666666666666666,12,2,0
campo de cielo,Formosa,NEA,2024-2025,0.0,0.0,2,0,0
campo de cielo,Santiago Del Estero,NEA,2024-2025,1.0,0.12,25,3,0
campo del cielo,Formosa,NEA,2024-2025,0.0,0.0,6,0,0
campo del cielo,Santiago Del Estero,NEA,2024-2025,250.0,37.57142857142857,42,15,1
campo del cielo,Santiago Del Estero,NEA,2025-2026,75.0,29.88,25,19,1
campo gallo,Chaco,NEA,2024-2025,29.0,19.666666666666668,3,3,1
campo gallo,Santiago Del Estero,NEA,2024-2025,273.0,7.822784810126582,79,25,1
campo gallo,Santiago Del Estero,NEA,2025-2026,273.0,15.6,40,14,1
campo piaggio,Santa Fe,CENTRO NORTE,2024-2025,26.0,1.183673469387755,49,6,1
campo piaggio,Santa Fe,CENTRO NORTE,2025-2026,26.0,5.073170731707317,41,15,1
canelones,,URUGUAY,2024-2025,0.0,0.0,1,0,0
canelones,Uruguay,URUGUAY,2024-2025,1.0,0.2,5,1,0
capdevilla,Chaco,NEA,2024-2025,1.0,1.0,1,1,0
capilla de sitón,Córdoba,CENTRO NORTE,2024-2025,369.0,29.59259259259259,54,24,1
capilla de sitón,Córdoba,CENTRO NORTE,2025-2026,369.0,19.18,50,21,1
cardona,,URUGUAY,2024-2025,0.0,0.0,1,0,0
cardona,Uruguay,URUGUAY,2024-2025,0.0,0.0,5,0,0
carhue,Buenos Aires,CENTRO SUR,2024-2025,0.0,0.0,57,0,0
carhue,Buenos Aires,CENTRO SUR,2025-2026,0.0,0.0,49,0,0
