localidad,provincia,region,temporada,lat,lon,dist_zona_endemica_km,oni_invierno,heladas_count,heladas_severas_count,temp_min_abs,temp_media_invierno,temp_min_media_invierno,dias_tmin_gt_10,dias_tmin_gt_15,dias_tmin_gt_18,gdd_base10,gdd_base0_negativo,rh_mean_invierno,precip_total_invierno,dias_con_lluvia,wind_mean_invierno,wind_max_invierno,wind_norte_ratio,temp_media_primavera,temp_min_media_primavera,dias_tmin_gt_15_primavera,dias_tmin_gt_18_primavera,gdd_base10_primavera,rh_mean_primavera,precip_total_primavera,wind_mean_primavera,dist_nearest_outbreak_km,dist_nearest_high_outbreak_km,n_outbreaks_within_100km,n_outbreaks_within_200km,prev_max_capturas,prev_mean_capturas,prev_target,prev_n_detecciones,max_capturas,mean_capturas,n_lecturas,n_detecciones,target
ambrosio,Corrientes,LITORAL,2025-2026,-28.2266753,-58.7750307,653.0846070824812,-0.14,1,0,-0.2,14.797826086956523,10.160869565217393,48,13,3,463.50000000000006,-0.2,76.5,210.29999999999998,19,11.576086956521738,35.6,0.10869565217391304,19.840983606557376,15.060655737704918,31,14,600.3000000000001,71.32786885245902,330.20000000000005,12.94426229508197,0.0,0.0,7,13,212.0,19.4390243902439,1,38,26.0,3.363636363636364,33,23,1
américa,Buenos Aires,CENTRO SUR,2024-2025,-35.4891187,-62.9756868,989.0112638359992,0.08,12,0,-3.2,9.520652173913044,4.914130434782608,9,1,0,122.00000000000001,-24.6,68.1304347826087,43.2,13,12.127173913043482,31.5,0.32608695652173914,17.621311475409833,11.773770491803278,15,6,465.30000000000007,54.278688524590166,79.80000000000001,14.281967213114754,9999.0,9999.0,0,0,0.0,0.0,0,0,14.0,0.2201834862385321,109,9,1
américa,Buenos Aires,CENTRO SUR,2025-2026,-35.4891187,-62.9756868,989.0112638359992,-0.14,6,0,-3.4,9.533695652173913,5.180434782608696,8,0,0,90.0,-10.100000000000001,72.3804347826087,165.6,12,12.064130434782612,38.8,0.42391304347826086,15.721311475409838,10.404918032786886,8,0,359.3999999999999,65.73770491803279,225.90000000000003,14.875409836065574,0.0,214.4989399980363,3,7,14.0,0.2201834862385321,1,9,14.0,0.358695652173913,92,6,1
ana zumaran,Córdoba,CENTRO SUR,2024-2025,-32.3913744,-63.0575084,655.2824276469091,0.08,8,0,-2.5,11.259782608695653,6.752173913043479,16,3,2,211.7,-8.9,68.6413043478261,32.1,7,10.404347826086957,29.3,0.3804347826086957,18.914754098360653,13.154098360655738,23,6,543.8,57.32786885245902,173.00000000000003,11.818032786885245,9999.0,9999.0,0,0,0.0,0.0,0,0,62.0,9.01923076923077,52,19,1
ana zumaran,Córdoba,CENTRO SUR,2025-2026,-32.3913744,-63.0575084,655.2824276469091,-0.14,2,0,-2.0,10.945652173913043,6.6521739130434785,16,0,0,155.59999999999997,-3.9,72.04347826086956,200.3,15,12.272826086956524,41.1,0.45652173913043476,17.36393442622951,11.444262295081968,13,4,453.1,62.08196721311475,104.7,14.331147540983606,0.0,51.75819556976943,17,82,62.0,9.01923076923077,1,19,18.0,1.9166666666666667,24,3,1
anguil,La Pampa,CENTRO SUR,2024-2025,-36.5269604,-64.0079566,1087.4264950234794,0.08,16,0,-3.4,8.572826086956521,4.048913043478262,5,0,0,73.0,-27.1,68.21739130434783,51.5,10,10.634782608695652,26.7,0.358695652173913,16.537704918032787,10.801639344262297,8,4,398.79999999999995,53.68852459016394,124.60000000000002,11.857377049180327,9999.0,9999.0,0,0,0.0,0.0,0,0,6.0,0.4912280701754385,57,5,1
anguil,La Pampa,CENTRO SUR,2025-2026,-36.5269604,-64.0079566,1087.4264950234794,-0.14,4,0,-3.5,9.315217391304346,4.806521739130434,4,0,0,78.69999999999999,-9.5,67.91304347826087,88.8,7,12.21630434782609,39.7,0.391304347826087,15.631147540983605,9.998360655737708,4,0,352.5,58.540983606557376,111.60000000000001,15.001639344262296,0.0,321.294645332123,2,5,6.0,0.4912280701754385,1,5,5.0,0.2045454545454545,44,3,1
antilla,Salta,NOA,2024-2025,-26.119575,-64.5934507,96.79920514225545,0.08,0,0,0.5,15.09891304347826,10.070652173913043,52,9,3,492.20000000000005,0.0,56.84782608695652,6.3999999999999995,2,12.317391304347824,34.9,0.391304347826087,23.367213114754097,17.51311475409836,44,28,815.4000000000001,49.114754098360656,96.5,13.150819672131146,9999.0,9999.0,0,0,0.0,0.0,0,0,3061.0,267.81481481481484,54,39,1
antilla,Salta,NOA,2025-2026,-26.119575,-64.5934507,96.79920514225545,-0.14,0,0,1.8,14.755434782608695,9.72391304347826,48,4,0,450.20000000000005,0.0,61.54347826086956,13.3,3,12.047826086956523,36.6,0.5,22.05081967213115,16.07704918032787,39,22,735.0999999999999,46.24590163934426,16.799999999999997,12.873770491803281,0.0,0.0,29,64,3061.0,267.81481481481484,1,39,3061.0,146.27906976744185,43,41,1
arbol blanco,Santiago Del Estero,NEA,2024-2025,-26.8372055,-61.9629214,321.24855691084485,0.08,0,0,0.2,17.18260869565217,12.00869565217391,57,29,14,673.0000000000001,0.0,60.08695652173913,31.3,10,11.382608695652175,35.2,0.21739130434782608,24.65081967213115,18.227868852459014,47,34,893.7000000000002,53.049180327868854,114.1,13.121311475409835,9999.0,9999.0,0,0,0.0,0.0,0,0,125.0,10.054545454545456,55,20,1
arbol blanco,Santiago Del Estero,NEA,2025-2026,-26.8372055,-61.9629214,321.24855691084485,-0.14,0,0,1.0,15.87391304347826,10.910869565217393,52,18,4,554.6,0.0,66.92391304347827,86.4,11,11.769565217391303,34.0,0.22826086956521738,22.11639344262295,16.01967213114754,36,23,739.1,57.36065573770492,119.89999999999999,13.960655737704919,0.0,0.0,16,34,125.0,10.054545454545456,1,20,125.0,13.346153846153848,26,21,1
arenal grande,,URUGUAY,2024-2025,-33.6840731,-58.3400676,1009.4626929582721,0.08,3,0,-1.1,12.125,8.630434782608697,32,10,2,269.70000000000005,-1.8,75.02173913043478,126.39999999999999,15,14.321739130434782,40.5,0.2717391304347826,18.19508196721312,13.467213114754099,21,5,499.9,67.39344262295081,118.9,14.824590163934426,9999.0,9999.0,0,0,0.0,0.0,0,0,0.0,0.0,3,0,0
arenal grande,Uruguay,URUGUAY,2024-2025,-33.6840731,-58.3400676,1009.4626929582721,0.08,3,0,-1.1,12.125,8.630434782608697,32,10,2,269.70000000000005,-1.8,75.02173913043478,126.39999999999999,15,14.321739130434782,40.5,0.2717391304347826,18.19508196721312,13.467213114754099,21,5,499.9,67.39344262295081,118.9,14.824590163934426,9999.0,9999.0,0,0,0.0,0.0,0,0,0.0,0.0,13,0,0
