Zona,Provincia,Localidad,Cant_30_11_25_al_15_12_25,Cant_16_12_25_al_31_12_25,Cant_01_01_26_al_16_01_26
Centro Sur,Buenos Aires,Paraje Fra Pal,0,Trampa perdida,0
Centro Sur,Buenos Aires,Salto,0,0,0
Centro Sur,Buenos Aires,Trenque Lauquen,0,1,0
Centro Sur,Buenos Aires,Chillar,0,0,0
Centro Sur,Buenos Aires,Puan,0,0,0
Centro Sur,Buenos Aires,Viboras,0,0,0
Centro Sur,Buenos Aires,12 de Octubre,0,0,0
Centro Sur,Buenos Aires,Ferré,0,0,0
Centro Sur,Buenos Aires,San Miguel de Arcángel,0,0,0
Centro Sur,Buenos Aires,Casey,0,0,0
Centro Sur,Buenos Aires,Guanaco,0,0,0
Centro Sur,Buenos Aires,Henderson,0,0,0
Centro Sur,Buenos Aires,Ayacucho,0,0,0
Centro Sur,Buenos Aires,Gral. Madariaga,0,0,0
Centro Sur,Buenos Aires,Orense,0,0,0
Centro Sur,Buenos Aires,Bragado,0,0,0
Centro Sur,Buenos Aires,San Pedro,0,2,0
Centro Sur,Buenos Aires,Alberdi,0,0,0
Centro Sur,Buenos Aires,Junín,0,0,0
Centro Sur,Buenos Aires,Pergamino,0,0,Sin datos
Centro Sur,Buenos Aires,Catriló,0,0,0
Centro Sur,Buenos Aires,Chivilcoy,0,0,0
Centro Sur,Buenos Aires,Pergamino,0,0,1
Centro Sur,Buenos Aires,Conesa,0,0,0
Centro Sur,Buenos Aires,San antonio de Areco,0,0,0
Centro Sur,Buenos Aires,Bordenave,0,0,0
Centro Sur,Buenos Aires,Gral. Villegas,0,0,0
Centro Sur,Buenos Aires,Ascasubi,0,0,0
Centro Sur,Buenos Aires,Bolivar,0,0,0
Centro Sur,Buenos Aires,Pehuajó,0,0,0
Centro Sur,Buenos Aires,Balcarce,0,0,0
Centro Sur,Córdoba,Cnel. Baigorria,0,0,0
Centro Sur,Córdoba,General Roca,0,0,0
Centro Sur,Córdoba,Gral. Cabrera,0,0,0
Centro Sur,Córdoba,La playosa,0,0,0
Centro Sur,Córdoba,Ordoñez,0,0,0
Centro Sur,Córdoba,Arroyo Cabral,0,0,0
Centro Sur,Córdoba,Villa María,0,0,0
Centro Sur,Córdoba,Benjamín Gould,0,0,0
Centro Sur,Córdoba,Buchardo,0,0,0
Centro Sur,Córdoba,Coronel Moldes,0,0,0
Centro Sur,Córdoba,Guatimozin,0,0,0
Centro Sur,Córdoba,Lecueder,0,0,0
Centro Sur,Córdoba,Villa Valeria,0,0,0
Centro Sur,Córdoba,Jovita,0,0,0
Centro Sur,Córdoba,Adelia María,0,0,1
Centro Sur,Córdoba,Cuatro Vientos,0,0,0
Centro Sur,Córdoba,General Levalle,0,0,Sin datos
Centro Sur,Córdoba,La Carlota,0,0,0
Centro Sur,Córdoba,Melo,0,0,0
Centro Sur,Córdoba,Vicuña Mackenna,1,0,0
Centro Sur,Córdoba,Villa valeria,0,0,0
Centro Sur,Córdoba,Monte Buey,0,1,0
Centro Sur,Córdoba,Marcos Juarez 2,0,0,0
Centro Sur,Córdoba,Ballesteros,0,0,0
Centro Sur,Córdoba,Achiras,0,0,0
Centro Sur,La Pampa,Macachín,0,0,0
Centro Sur,La Pampa,General Pico,0,0,0
Centro Sur,La Pampa,Quemú Quemú,0,0,0
Centro Sur,La Pampa,Santa Rosa,0,0,0
Centro Sur,La Pampa,Anguil 1,0,0,1
Centro Sur,La Pampa,Winifreda,0,0,0
Centro Sur,La Pampa,Ing. Luiggi,0,Sin datos,0
Centro Sur,San Luís,La Angelina,0,0,0
Centro Sur,San Luís,Nueva Galia,Trampa perdida,0,0
Centro Sur,San Luís,Buena Esperanza,0,0,0
Centro Sur,San Luís,Juan Jorba,0,0,0
Centro Sur,San Luís,San Luis 1,0,0,0
Centro Sur,San Luís,Quines,0,0,0
Centro Sur,San Luís,Naschel,Sin datos,0,0
Centro Sur,Santa Fe,Álvarez,2,0,3
Centro Sur,Santa Fe,Hughes,0,0,0
Centro Sur,Santa Fe,Iriarte,0,0,0
Centro Sur,Santa Fe,Máximo Paz,0,Sin datos,4
Centro Sur,Santa Fe,San Jerónimo Sur,0,1,3
Centro Sur,Santa Fe,Teodelina,0,0,0
Centro Sur,Santa Fe,Timbúes,1,2,1
Centro Sur,Santa Fe,Venado tuerto,0,0,0
Centro Sur,Santa Fe,Villa Mugueta,0,0,0
Centro Sur,Santa Fe,Villada,0,0,0
Centro Sur,Santa Fe,Wheelright,0,0,0
Centro Sur,Santa Fe,J. B. Molina,0,0,0
Centro Sur,Santa Fe,Armstrong,0,0,1
Centro Sur,Santa Fe,Chañar Ladeado,0,0,0
Centro Sur,Santa Fe,Monte de Oca,0,0,0
Centro Sur,Santa Fe,Zavalla,0,0,0
Centro Sur,Santa Fe,Pueblo Uranga,0,0,0
Centro Sur,Santa Fe,Clucellas,0,Sin datos,0
Centro Sur,Santa Fe,Pujato,0,0,0
Centro Sur,Santa Fe,Cañada de Gómez,0,0,0
