Región,Provincia,Localidad,Lectura_15_11_25_al_29_11,Lectura_30_11_25_al_15_12_25,Lectura_16_12_25_al_31_12_25
Centro Norte,Córdoba,Colonia Marina,0,0,0
Centro Norte,Córdoba,Villa Fontana,0,0,0
Centro Norte,Córdoba,Loma Del Trozo,0,0,0
Centro Norte,San Luis,La Toma,0,0,0
Centro Norte,Santa Fe,Ceres,0,0,0
Centro Norte,Santa Fe,Gálvez,0,0,0
Centro Norte,Santa Fe,Humboldt,0,0,0
Centro Norte,Santa Fe,Landeta,0,0,0
Centro Norte,Santa Fe,Piamonte,0,0,0
Centro Norte,Santa Fe,San Vicente,0,0,0
Centro Norte,Santa Fe,Susana,0,0,Sin datos
Centro Norte,Santa Fe,San Guillermo,2,3,4
Centro Norte,Santa Fe,San Jorge,0,0,0
Centro Norte,Santa Fe,Santa Clara de Saguier,0,0,1
Centro Norte,Santa Fe,Vila,0,0,0
Centro Norte,Santa Fe,El Trébol,0,0,0
Centro Norte,Santa Fe,López,0,0,0
Centro Norte,Santa Fe,Campo Piaggio,0,0,0
Centro Norte,Santa Fe,San Carlos Norte,0,0,0
Centro Norte,Santa Fe,Emilia,0,0,0
Centro Norte,Santa Fe,Gálvez,0,0,0
Centro Norte,Santa Fe,Aldao,Trampa perdida,3,Trampa perdida
Centro Norte,Santa Fe,Maria Juana,0,0,0
Centro Norte,Santa Fe,Progreso,0,3,0
Centro Norte,Santa Fe,Sastre,0,0,0
Centro Norte,Santa Fe,San Jerónimo Norte,7,9,4
Centro Norte,Santa Fe,Ataliva,0,0,0
Centro Norte,Santa Fe,Bernardo de Irigoyen,0,0,0
Centro Norte,Santa Fe,Crispi,0,0,0
Centro Norte,Santa Fe,Esperanza,0,0,0
Centro Norte,Santa Fe,Moisés Ville,0,0,0
Centro Norte,Santa Fe,Cañada Rosquín,Sin datos,0,0
Centro Norte,Santa Fe,Rincón de Ávila,0,0,0
Centro Norte,Santa Fe,San Fabián,0,0,0
Centro Norte,Santa Fe,San Martin de las Escobas,0,0,0
Centro Norte,Santa Fe,Centeno,0,0,0
Centro Norte,Santa Fe,Videla,2,Sin datos,Sin datos
Centro Norte,Santa Fe,Rafaela,0,0,0
Centro Norte,Santa Fe,Ceres,0,0,2
Centro Norte,Santa Fe,San Justo,0,0,0
Centro Norte,Santa Fe,Angelica,0,0,0
Centro Norte,Santa Fe,Fraga,0,0,0
Centro Norte,Santa Fe,Naré,,0,0
Centro Sur,Buenos Aires,La Violeta,0,0,0
Centro Sur,Buenos Aires,América,Trampa perdida,0,0
Centro Sur,Buenos Aires,Chacabuco,0,0,0
Centro Sur,Buenos Aires,Cnel. Dorrego,0,0,0
Centro Sur,Buenos Aires,Coronel Suarez,0,0,0
Centro Sur,Buenos Aires,Cura Malal,0,0,0
Centro Sur,Buenos Aires,Germania,0,0,0
