Región,Provincia,Localidad,Lectura_04_10_24_al_21_10_24,Lectura_22_10_24_al_08_11_24,Lectura_09_11_24_al_22_11_24
Centro Norte,Santa Fe,Ataliva,0,0,0
Centro Norte,Santa Fe,Bernardo de Irigoyen,0,0,0
Centro Norte,Santa Fe,Crispi,0,0,0
Centro Norte,Santa Fe,Esperanza,0,0,0
Centro Norte,Santa Fe,Moisés Ville,0,0,0
Centro Norte,Santa Fe,Rincón de Ávila,0,0,0
Centro Norte,Santa Fe,San Fabián,0,0,0
Centro Norte,Santa Fe,San Martin de las Escobas,0,0,0
Centro Norte,Santa Fe,Cañada Rosquín,0,0,0
Centro Norte,Santa Fe,El Trébol 4,0,0,0
Centro Norte,Santa Fe,Rafaela,0,0,0
Centro Norte,Santa Fe,Centeno,0,0,0
Centro Norte,Santa Fe,Ceres,0,0,0
Centro Sur,San Luís,La Angelina,0,0,0
Centro Sur,San Luís,Nueva Galia,0,0,0
Centro Sur,San Luís,Buena Esperanza,0,0,0
Centro Sur,San Luís,Juan Jorba,0,0,0
Centro Sur,San Luís,Los molles,0,1,0
Centro Sur,San Luís,Naschel,0,0,0
Centro Sur,San Luís,San Martín,0,0,0
Centro Sur,San Luís,San Luis 1,0,0,0
Centro Sur,San Luís,Quines,0,0,0
Centro Sur,Córdoba,Ana Zumaran,0,0,0
Centro Sur,Córdoba,Cnel. Baigorria,0,0,0
Centro Sur,Córdoba,General Roca,Sin datos,0,0
Centro Sur,Córdoba,Gral. Cabrera,0,0,0
Centro Sur,Córdoba,La playosa,0,0,0
Centro Sur,Córdoba,Ordoñez,0,0,0
Centro Sur,Córdoba,Tosquita,0,0,0
Centro Sur,Córdoba,Arroyo Cabral,0,0,0
Centro Sur,Córdoba,Villa María,0,0,0
Centro Sur,Córdoba,Benjamín Gould,0,0,0
Centro Sur,Córdoba,Buchardo,0,0,0
Centro Sur,Córdoba,Coronel Moldes,0,0,0
Centro Sur,Córdoba,Corral de Bustos,0,0,0
Centro Sur,Córdoba,Guatimozin,0,0,0
Centro Sur,Córdoba,Idiazabal,0,0,0
Centro Sur,Córdoba,Lecueder,0,0,0
Centro Sur,Córdoba,Villa Valeria,0,0,0
Centro Sur,Córdoba,Jovita,0,0,0
Centro Sur,Córdoba,Adelia María,0,0,0
Centro Sur,Córdoba,Chilibroste,0,0,0
Centro Sur,Córdoba,Justiniano Posse,0,0,0
Centro Sur,Córdoba,Huinca Renanco,0,2,0
Centro Sur,Córdoba,Arias,0,0,0
Centro Sur,Córdoba,Cañada Seca,0,0,0
Centro Sur,Córdoba,Cuatro Vientos,0,0,0
Centro Sur,Córdoba,General Levalle,0,0,0
Centro Sur,Córdoba,La Carlota,1,3,0
Centro Sur,Córdoba,Melo,1,0,0
Centro Sur,Córdoba,Monte de los Gauchos,0,0,0
Centro Sur,Córdoba,Punta del Agua,0,0,0
Centro Sur,Córdoba,Reduccion,0,0,0
Centro Sur,Córdoba,Rio Seco,0,0,0
Centro Sur,Córdoba,Vicuña Mackenna,0,1,0
Centro Sur,Córdoba,Villa valeria,0,0,0
Centro Sur,Córdoba,Monte Buey,0,0,0
Centro Sur,Córdoba,Marcos Juarez 2,0,0,0
Centro Sur,Córdoba,Ballesteros,0,0,0
Centro Sur,Santa Fe,Álvarez,0,0,0
Centro Sur,Santa Fe,Bustinza,0,0,Trampa perdida
Centro Sur,Santa Fe,Godoy,0,0,0
Centro Sur,Santa Fe,Hughes,0,0,0
Centro Sur,Santa Fe,Iriarte,0,0,0
Centro Sur,Santa Fe,Máximo Paz,0,0,0
Centro Sur,Santa Fe,San Jerónimo Sur,0,1,0
Centro Sur,Santa Fe,Teodelina,0,0,0
Centro Sur,Santa Fe,Timbúes,0,0,0
Centro Sur,Santa Fe,Venado tuerto,0,0,0
Centro Sur,Santa Fe,Villa Mugueta,0,0,0
Centro Sur,Santa Fe,Villada,0,0,0
Centro Sur,Santa Fe,Wheelright,0,0,0
Centro Sur,Santa Fe,J. B. Molina,0,0,0
Centro Sur,Santa Fe,Christophersen,0,0,0
Centro Sur,Santa Fe,Chañar Ladeado,0,0,0
Centro Sur,Santa Fe,Monte de Oca,0,0,0
Centro Sur,Santa Fe,Zavalla,0,0,0
Centro Sur,Santa Fe,Villa Cañas,0,0,0
Centro Sur,Santa Fe,Pueblo Uranga,0,0,0
Centro Sur,Santa Fe,Clucellas,0,0,0
Centro Sur,Santa Fe,Maria teresa,0,0,0
Centro Sur,Santa Fe,Bombal,0,0,0
Centro Sur,Santa Fe,Las Rosas,0,0,0
Centro Sur,Santa Fe,Teodolina,0,0,0
Centro Sur,Santa Fe,Pujato,,0,0
Centro Sur,Santa Fe,Cañada de Gómez,0,0,0
Centro Sur,Buenos Aires,Arrecifes,0,0,0
Centro Sur,Buenos Aires,La invensible,0,0,0
Centro Sur,Buenos Aires,La Violeta,0,0,0
Centro Sur,Buenos Aires,17 de Agosto,0,0,0
Centro Sur,Buenos Aires,América,0,0,0
Centro Sur,Buenos Aires,Armstrong,0,0,0
Centro Sur,Buenos Aires,Chacabuco,0,0,0
Centro Sur,Buenos Aires,Cnel. Dorrego,0,0,0
Centro Sur,Buenos Aires,Colón,0,0,0
Centro Sur,Buenos Aires,Coronel Suarez,0,0,0
Centro Sur,Buenos Aires,Cura Malal,0,0,0
Centro Sur,Buenos Aires,Ferré,0,0,0
Centro Sur,Buenos Aires,Germania,0,Sin datos,0
Centro Sur,Buenos Aires,Gral. Arenales T1,0,0,0
Centro Sur,Buenos Aires,Gobernador Castro,0,0,0
Centro Sur,Buenos Aires,González Moreno,0,0,0
Centro Sur,Buenos Aires,Guaminí,2,0,0
Centro Sur,Buenos Aires,Leandro N. Alem,0,0,0
Centro Sur,Buenos Aires,Los Toldos,0,0,0
Centro Sur,Buenos Aires,Morse,0,0,0
Centro Sur,Buenos Aires,Pasman,0,0,0
Centro Sur,Buenos Aires,Pehuajó,0,0,0
Centro Sur,Buenos Aires,Pergamino,0,0,0
Centro Sur,Buenos Aires,Ramallo,0,0,0
Centro Sur,Buenos Aires,Roberts,0,0,0
Centro Sur,Buenos Aires,Tres Arroyos,0,0,0
Centro Sur,Buenos Aires,Villa Gral. Savio,0,0,0
Centro Sur,Buenos Aires,Inés Indart,0,0,0
Centro Sur,Buenos Aires,Pirovano,0,0,0
Centro Sur,Buenos Aires,Zavalía,0,0,0
Centro Sur,Buenos Aires,Pigüé,1,0,0
Centro Sur,Buenos Aires,Gral. Arenales,0,0,0
Centro Sur,Buenos Aires,25 de Mayo Salesiana,0,0,0
Centro Sur,Buenos Aires,Berraondo,0,0,0
Centro Sur,Buenos Aires,Carhue,0,0,0
Centro Sur,Buenos Aires,Casbas,0,0,0
Centro Sur,Buenos Aires,Chascomús,0,0,0
Centro Sur,Buenos Aires,La Niña,0,0,0
Centro Sur,Buenos Aires,Las Numancias,0,0,0
Centro Sur,Buenos Aires,Necochea,0,0,0
Centro Sur,Buenos Aires,Paraje Fra Pal,0,0,0
Centro Sur,Buenos Aires,Salto,0,0,0
Centro Sur,Buenos Aires,Trenque Lauquen,0,0,0
Centro Sur,Buenos Aires,Chillar,0,0,0
Centro Sur,Buenos Aires,Sur Bordenave,0,0,0
Centro Sur,Buenos Aires,Puan,0,0,0
Centro Sur,Buenos Aires,Viboras,0,0,0
Centro Sur,Buenos Aires,12 de Octubre,0,0,0
Centro Sur,Buenos Aires,Carmen de Areco,0,0,0
Centro Sur,Buenos Aires,Ferré,0,0,0
Centro Sur,Buenos Aires,Vedia,0,0,0
Centro Sur,Buenos Aires,San Miguel de Arcángel,0,0,0
Centro Sur,Buenos Aires,América,0,0,0
Centro Sur,Buenos Aires,Arenaza,0,0,0
Centro Sur,Buenos Aires,Carlos Tejedor,0,0,0
Centro Sur,Buenos Aires,Casey,0,0,0
Centro Sur,Buenos Aires,Daireaux,Sin datos,0,0
Centro Sur,Buenos Aires,General Arenales,0,0,0
Centro Sur,Buenos Aires,General Villegas,0,0,0
Centro Sur,Buenos Aires,Guanaco,0,0,0
Centro Sur,Buenos Aires,Henderson,0,0,0
Centro Sur,Buenos Aires,Mari Lauque,0,0,0
Centro Sur,Buenos Aires,Moctezuma,0,0,0
Centro Sur,Buenos Aires,Treinta de Agosto,0,0,0
Centro Sur,Buenos Aires,Ayacucho,0,0,0
Centro Sur,Buenos Aires,Gral. Madariaga,0,0,0
Centro Sur,Buenos Aires,Orense,0,0,0
Centro Sur,Buenos Aires,Bragado,0,0,0
Centro Sur,Buenos Aires,San Andrés de Giles,0,0,0
Centro Sur,Buenos Aires,San Pedro,0,0,0
Centro Sur,Buenos Aires,Alberdi,0,0,0
Centro Sur,Buenos Aires,Junín,0,0,0
Centro Sur,Buenos Aires,Necochea,0,0,0
Centro Sur,Buenos Aires,Pergamino,0,0,1
Centro Sur,Buenos Aires,Tandil,0,0,0
Centro Sur,Buenos Aires,Las Armas,0,0,0
Centro Sur,Buenos Aires,Chivilcoy,0,0,0
Centro Sur,Buenos Aires,Pergamino,0,0,0
Centro Sur,Buenos Aires,Conesa,0,0,0
Centro Sur,Buenos Aires,San antonio de Areco,0,0,0
Centro Sur,Buenos Aires,Bordenave,0,0,0
Centro Sur,Buenos Aires,Gral. Villegas,0,0,0
Centro Sur,Buenos Aires,Ascasubi,0,0,0
Centro Sur,Buenos Aires,Bolivar,0,0,0
Centro Sur,Buenos Aires,Pehuajó,0,0,0
Centro Sur,Buenos Aires,Bolivar,,,0
Centro Sur,Buenos Aires,Balcarce,0,0,0
Centro Sur,La Pampa,Macachín,0,0,0
Centro Sur,La Pampa,Quemu Quemu,0,Sin datos,0
Centro Sur,La Pampa,General Pico,0,0,0
Centro Sur,La Pampa,Quemú Quemú,0,0,0
Centro Sur,La Pampa,Santa Rosa,0,0,0
Centro Sur,La Pampa,Anguil 1,0,0,0
Centro Sur,La Pampa,Catriló,0,0,0
Uruguay,Uruguay,Vergara,0,0,Sin dato
Uruguay,Uruguay,Rosario,1,0,0
Uruguay,Uruguay,Acegua,0,0,Sin dato
Uruguay,Uruguay,Chamizo,1,0,Sin dato
Uruguay,Uruguay,Colonia,0,0,0
Uruguay,Uruguay,Young,0,0,0
Uruguay,Uruguay,Mercedes,0,0,0
